title,rating,liked,disliked,text,predicted_categories
Great Partnership,4.5,Working with G2 was a simple and easy experience that allowed us to drive a number of positive reviews on their platform. The partnership they create and the guidance they provide was extremely helpful.,We didn't have visibility into the reviews as they we're coming in- would've been interesting to see in real time what sort of feedback was being left.,Great Partnership Working with G2 was a simple and easy experience that allowed us to drive a number of positive reviews on their platform. The partnership they create and the guidance they provide was extremely helpful. We didn't have visibility into the reviews as they we're coming in- would've been interesting to see in real time what sort of feedback was being left.,"['Customer Satisfaction', 'Support Quality']"
Great technology and team,4,The team we have worked with is committed to our organization's success.  This has created a winning strategy for our organization!,"our organization's inability to set up the SFDC connector.  If you have ""bad data"" it can be tough to launch","Great technology and team The team we have worked with is committed to our organization's success.  This has created a winning strategy for our organization! our organization's inability to set up the SFDC connector.  If you have ""bad data"" it can be tough to launch",['Customer Satisfaction\nIntegration Capabilities']
You Wont Find Better!,5,"We have probably the best CSM out there - shout out to Jeremy Levin! This makes our experience 10x better and what makes me recommend G2 to others professionals over and over again. Not only is his support to help us really maximize profile traffic and brand reputation across G2 categories through our bi-weekly check-ins, research audits, and marketplace assessments super helpful, but his willingness to constantly go above what we ask and offer us more is amazing.  Our team at G2, the resources they provide us  with and the knowledge they share is the best I have had. Like I said, you won't find better!",Not much to dislike. Our G2 team has been awesome in helping us if we have any issues.,"You Wont Find Better! We have probably the best CSM out there - shout out to Jeremy Levin! This makes our experience 10x better and what makes me recommend G2 to others professionals over and over again. Not only is his support to help us really maximize profile traffic and brand reputation across G2 categories through our bi-weekly check-ins, research audits, and marketplace assessments super helpful, but his willingness to constantly go above what we ask and offer us more is amazing.  Our team at G2, the resources they provide us  with and the knowledge they share is the best I have had. Like I said, you won't find better! Not much to dislike. Our G2 team has been awesome in helping us if we have any issues.",['- Customer Satisfaction\n- Support Quality']
Top-tier competitive intel support,5,"G2 has allowed our sellers to leverage multiple angles when selling against competitors (i.e. review quantity, review quality, feature comparisons, etc.). And on top of that, the assets that they provide our team with are designed according to our brand guidelines... lightening the load for our creative team.



I'd also be remiss if I didn't mention our fantastic account team. Jeremy Levin has been an incredible resource for us as we've grown into new categories and analyzed competitors. In addition to simply answering questions, he comes to the table with suggestions as new products, features, or grids roll out to help us get the most bang for our buck.","I would love to understand more, from a competitive perspective, how other vendors are able to rank on specific grids. There are cases where some vendors are on a specific grid that I don't believe belong, and it's difficult to understand how they got there and create a ""dismiss"" talk track for our sellers.","Top-tier competitive intel support G2 has allowed our sellers to leverage multiple angles when selling against competitors (i.e. review quantity, review quality, feature comparisons, etc.). And on top of that, the assets that they provide our team with are designed according to our brand guidelines... lightening the load for our creative team.



I'd also be remiss if I didn't mention our fantastic account team. Jeremy Levin has been an incredible resource for us as we've grown into new categories and analyzed competitors. In addition to simply answering questions, he comes to the table with suggestions as new products, features, or grids roll out to help us get the most bang for our buck. I would love to understand more, from a competitive perspective, how other vendors are able to rank on specific grids. There are cases where some vendors are on a specific grid that I don't believe belong, and it's difficult to understand how they got there and create a ""dismiss"" talk track for our sellers.",['- Customer Satisfaction\n- Comparative Analysis']
Wonderful experience,5,"Our CSM, Jeremy, is so dedicated and excited - it's rejuvenating!",I can't say I have much to include here as I don't actively use the platform but more consult and distribute.,"Wonderful experience Our CSM, Jeremy, is so dedicated and excited - it's rejuvenating! I can't say I have much to include here as I don't actively use the platform but more consult and distribute.",['- User Experience\n- Customer Satisfaction']
A true partnership with unwavering support,5,"G2 is clearly a leader in this space and they make it easy and attainable for partners to utilize and leverage their reports. The way that they break down each vendors strengths, weaknesses, and comparisons to competitors is so valuable! 



Having an extremely attentive and proactive account manager is very beneficial and goes a long way and makes it easy to get the most out of the partnership.",The only downside is not being able to use all of the reports if they're not licensed!,"A true partnership with unwavering support G2 is clearly a leader in this space and they make it easy and attainable for partners to utilize and leverage their reports. The way that they break down each vendors strengths, weaknesses, and comparisons to competitors is so valuable! 



Having an extremely attentive and proactive account manager is very beneficial and goes a long way and makes it easy to get the most out of the partnership. The only downside is not being able to use all of the reports if they're not licensed!",['Customer Satisfaction and Comparative Analysis']
Love working with the G2 team!,5,"The partnership in working with the G2 team! They have been able to answer all of our questions on the capabilities of G2, what solutions would work best for our team, and maximizing our results from using this product.","G2 offers many solutions when it comes to Marketing Solutions. It can be difficult determining the best solution for your business at first, but our Account Manager and CSM have been super helpful in this process for us!","Love working with the G2 team! The partnership in working with the G2 team! They have been able to answer all of our questions on the capabilities of G2, what solutions would work best for our team, and maximizing our results from using this product. G2 offers many solutions when it comes to Marketing Solutions. It can be difficult determining the best solution for your business at first, but our Account Manager and CSM have been super helpful in this process for us!",['Customer Satisfaction and Support Quality']
An Effective Tool for Showcasing our Customers' Experiences,4,"The ability to leverage product reviews as well as the index, grid, and head-to-head competitor reports has proven to be a valuable asset. We have been able to show strong ROI and we aren't necessarily utilizing the tools as effectively as we could. 



Also, our G2 team is amazing. They're responsive, helpful, creative, and always looking to take something of our plate to get something done.",The Activated Profile package is pricey and not well aligned to businesses who don't engage in account-based marketing. It would be nice to have a package with much of those features adjusted for those of us who can't make as much use of the business intent data and lean more on content-based lead and demand generation.,"An Effective Tool for Showcasing our Customers' Experiences The ability to leverage product reviews as well as the index, grid, and head-to-head competitor reports has proven to be a valuable asset. We have been able to show strong ROI and we aren't necessarily utilizing the tools as effectively as we could. 



Also, our G2 team is amazing. They're responsive, helpful, creative, and always looking to take something of our plate to get something done. The Activated Profile package is pricey and not well aligned to businesses who don't engage in account-based marketing. It would be nice to have a package with much of those features adjusted for those of us who can't make as much use of the business intent data and lean more on content-based lead and demand generation.",['1. Customer Satisfaction\n2. Pricing']
Love G2!,5,"We have had excellent luck with G2. Our sales team uses G2 to close more and more deals, and in marketing, we use G2 to solidify our great position in the market. We love that all of the content is available for us to use in competitive campaigns and that's it all coming from a 3rd party source. People love to do their own research nowadays and we want to be sure they are seeing our product in the best light!","There really is no downside to G2! If you have any issues, you have great customer success reps who make things super easy to understand and put into practice.","Love G2! We have had excellent luck with G2. Our sales team uses G2 to close more and more deals, and in marketing, we use G2 to solidify our great position in the market. We love that all of the content is available for us to use in competitive campaigns and that's it all coming from a 3rd party source. People love to do their own research nowadays and we want to be sure they are seeing our product in the best light! There really is no downside to G2! If you have any issues, you have great customer success reps who make things super easy to understand and put into practice.",['Customer Satisfaction and Comparative Analysis']
Only as good as you make it ...,4.5,"We've been on the Power Plan for nearly 8 months, slow to adopt all of the paid features available to us. Those we've leveraged: Upgraded Profile, Testimonial Widget, Customer Reference Page, and Real-Time Leads. We're soon to embrace the Marketo lead webhooks and buyer intent integration. What do I like best? Admin Portal ease-of-use. Platform is super intuitive. Intent data, marketing content and other analytics are easily accessible via MyG2 menu, no need to hunt. Customer reference pages are easy to build, too. Support from Customer Success is great.","We've not yet leveraged all of the paid features available to us, can only speak to those we have: nothing to dislike at this point, really. I do, at times, feel pressured, sometimes rushed, to utilize plan to fullest potential (understandably, as CS team is eager to prove value), and felt the onboarding process was hurried, though we're not quite there yet. Baby steps is how we roll.","Only as good as you make it ... We've been on the Power Plan for nearly 8 months, slow to adopt all of the paid features available to us. Those we've leveraged: Upgraded Profile, Testimonial Widget, Customer Reference Page, and Real-Time Leads. We're soon to embrace the Marketo lead webhooks and buyer intent integration. What do I like best? Admin Portal ease-of-use. Platform is super intuitive. Intent data, marketing content and other analytics are easily accessible via MyG2 menu, no need to hunt. Customer reference pages are easy to build, too. Support from Customer Success is great. We've not yet leveraged all of the paid features available to us, can only speak to those we have: nothing to dislike at this point, really. I do, at times, feel pressured, sometimes rushed, to utilize plan to fullest potential (understandably, as CS team is eager to prove value), and felt the onboarding process was hurried, though we're not quite there yet. Baby steps is how we roll.",['User Experience and Support Quality']
Strategic partner for driving brand reputation,5,"Our G2 team has been a strategic partner for us in managing our brand reputation across key G2 categories, maximizing our profile and driving traffic to our website. Our CSM Jeremy Levin is a rockstar, and has been proactive in providing recommendations for how to drive more reviews to our profile. He is very service-oriented and always quick to respond whenever I have a question. We also have a Slack channel with our G2 account team set up so communication is always quick and transparent.",We had shared feedback about improvements we'd like to see for the process of leaving G2 reviews to make it more seamless. This feedback was well received by the G2 team.,"Strategic partner for driving brand reputation Our G2 team has been a strategic partner for us in managing our brand reputation across key G2 categories, maximizing our profile and driving traffic to our website. Our CSM Jeremy Levin is a rockstar, and has been proactive in providing recommendations for how to drive more reviews to our profile. He is very service-oriented and always quick to respond whenever I have a question. We also have a Slack channel with our G2 account team set up so communication is always quick and transparent. We had shared feedback about improvements we'd like to see for the process of leaving G2 reviews to make it more seamless. This feedback was well received by the G2 team.",['- Customer Satisfaction\n- Support Quality']
Great Partnership & Resource for third-party validation,5,"G2 is a great place to garner customer feedback and provide third-party reviews for your sales team to leverage. Our customer success team (Alexis and Mike) is terrific - always helpful, responsive and provide the trusted partnership to drive alignment. Whenever I have odd requests or needs, they are always available to help. There are a number of constraints on what we can do but our CSM team is always helpful with new ideas/solutions.",I don't have much that I dislike. I do wish the Grid Reports were a little more selective in terms of categories and segments. We do place well in those but sometimes the volume of reports and badges make it difficult to hone in on a message. We like to leverage these with our sales team but it can be hard to find a few key takeaways for it. That's the one area that we'd like to improve.,"Great Partnership & Resource for third-party validation G2 is a great place to garner customer feedback and provide third-party reviews for your sales team to leverage. Our customer success team (Alexis and Mike) is terrific - always helpful, responsive and provide the trusted partnership to drive alignment. Whenever I have odd requests or needs, they are always available to help. There are a number of constraints on what we can do but our CSM team is always helpful with new ideas/solutions. I don't have much that I dislike. I do wish the Grid Reports were a little more selective in terms of categories and segments. We do place well in those but sometimes the volume of reports and badges make it difficult to hone in on a message. We like to leverage these with our sales team but it can be hard to find a few key takeaways for it. That's the one area that we'd like to improve.",['1. Customer Satisfaction\n2. Support Quality']
A fantastic platform that serves many use cases!,5,"G2 offers a wealth of insights and content. Whether it's leveraging customer testimonials and leader badges for social proof that you can use across many marketing channels, the information you can glean from the grid reports, custom comparison reports, or the G2 buyer intent data - there is something for everyone - for all functions of your organization (not just Marketing!). Also, our account team is top-notch, Jeremy and Mike are easily the best respective CSM and AE I've work ever worked with across other vendors/partners - they are responsive, passionate, creative, and work with us like they are a part of OUR team.","Content licenses are required for every category your solution falls within, which can be cost-prohibitive if you have a solution that falls within many categories","A fantastic platform that serves many use cases! G2 offers a wealth of insights and content. Whether it's leveraging customer testimonials and leader badges for social proof that you can use across many marketing channels, the information you can glean from the grid reports, custom comparison reports, or the G2 buyer intent data - there is something for everyone - for all functions of your organization (not just Marketing!). Also, our account team is top-notch, Jeremy and Mike are easily the best respective CSM and AE I've work ever worked with across other vendors/partners - they are responsive, passionate, creative, and work with us like they are a part of OUR team. Content licenses are required for every category your solution falls within, which can be cost-prohibitive if you have a solution that falls within many categories",['- Customer Satisfaction \n- Comparative Analysis']
Transforming our marketing strategy with G2,5,"Our account team! Michael, Alexis, and Jeremy really made the difference in our utilization. They made suggestions we wouldn't have thought of. They have been there every step of the way.","There is just so much, and not enough time to implement. We're a smaller demand gen team, which makes expanding our efforts a bit difficult. We've leaned on our account team to help, but there is just so much, it can be overwhelming at times. I also don't think this is necessarily a bad thing, a lot of room to grow.","Transforming our marketing strategy with G2 Our account team! Michael, Alexis, and Jeremy really made the difference in our utilization. They made suggestions we wouldn't have thought of. They have been there every step of the way. There is just so much, and not enough time to implement. We're a smaller demand gen team, which makes expanding our efforts a bit difficult. We've leaned on our account team to help, but there is just so much, it can be overwhelming at times. I also don't think this is necessarily a bad thing, a lot of room to grow.",['- Support Quality\n- Product Benefits']
Wonderful Enterprise Support!,5,"While the platform is super intuitive to use, it's our account management that makes G2 a 10.",It can sometimes be difficult for multi-function teams to manage when there are distinct goals for each but we're getting there.,"Wonderful Enterprise Support! While the platform is super intuitive to use, it's our account management that makes G2 a 10. It can sometimes be difficult for multi-function teams to manage when there are distinct goals for each but we're getting there.","['User Experience', 'Support Quality']"
Great team makes it easy to work with and strengthen our brand,5,"The inbound leads that come in are high quality. These are prospects who have us on their short list and are actively researching our solutions further. On the review generation side, the dashboard is very helpful and intuitive. Reports are easy to find and it makes it very easy to manage our product profiles. The G2 team is very supportive and responsive, you feel like you've got additional team members with them.",The quantity of leads can be low at times,"Great team makes it easy to work with and strengthen our brand The inbound leads that come in are high quality. These are prospects who have us on their short list and are actively researching our solutions further. On the review generation side, the dashboard is very helpful and intuitive. Reports are easy to find and it makes it very easy to manage our product profiles. The G2 team is very supportive and responsive, you feel like you've got additional team members with them. The quantity of leads can be low at times",['Customer Satisfaction and Support Quality']
G2 has made a huge impact in understanding our buyer's journey,5,"Having these insights and proof points has been key to creating our workflows, messaging and digital campaigns.  



Our team at G2 is amazing, Jamie Yates and Stephanie Cole are incredible resources that are invested in our success and we have enjoyed working with them.","Honestly, I really don't have any complaints - I truly feel like a valued partner!","G2 has made a huge impact in understanding our buyer's journey Having these insights and proof points has been key to creating our workflows, messaging and digital campaigns.  



Our team at G2 is amazing, Jamie Yates and Stephanie Cole are incredible resources that are invested in our success and we have enjoyed working with them. Honestly, I really don't have any complaints - I truly feel like a valued partner!",['- User Experience\n- Customer Satisfaction']
Excellent Review Sourcing Platform,4,G2 review service is the best! This platform allows prospects and vendors to learn about your software and service through real user experiences. The CSMs are involved at every step of implementation and execution. they're typically very proactive in providing assistance and ideas for review campaigns.,The quarterly report methodology and algorithms need additional details and explanations.,Excellent Review Sourcing Platform G2 review service is the best! This platform allows prospects and vendors to learn about your software and service through real user experiences. The CSMs are involved at every step of implementation and execution. they're typically very proactive in providing assistance and ideas for review campaigns. The quarterly report methodology and algorithms need additional details and explanations.,['- User Experience\n- Support Quality']
G2 is an essential partner for our content and demand generation efforts,5,"G2 Crowd gives us the content we need to fuel our demand generation and social proof efforts. Customers and prospects are hungry for real information, not the same features and benefits every vendor claims. 

With the content subscription we are able to offer prospective  buyers  helpful insights based on reviews from peers to help inform their purchase.  The Customer Success team is also great to work with and always 

offer great advice and use cases from other company experiences that accelerate our goals.","Nothing, really.  I had experience with G2 from a previous company and it's even better the second time.","G2 is an essential partner for our content and demand generation efforts G2 Crowd gives us the content we need to fuel our demand generation and social proof efforts. Customers and prospects are hungry for real information, not the same features and benefits every vendor claims. 

With the content subscription we are able to offer prospective  buyers  helpful insights based on reviews from peers to help inform their purchase.  The Customer Success team is also great to work with and always 

offer great advice and use cases from other company experiences that accelerate our goals. Nothing, really.  I had experience with G2 from a previous company and it's even better the second time.",['Customer Satisfaction and Product Benefits']
The best Peer Review platform outthere,5,"I'm working with 7 peer platforms, but G2 is by far the most comprehensive one, from the UX to the features offered in order to serve our company goals.  They provide a lot of great features for business growth.",I don't have anything to add here. Everything runs smooth.,"The best Peer Review platform outthere I'm working with 7 peer platforms, but G2 is by far the most comprehensive one, from the UX to the features offered in order to serve our company goals.  They provide a lot of great features for business growth. I don't have anything to add here. Everything runs smooth.",['User Experience and Product Benefits']
Helpful partners on the journey,4.5,"The G2 team understands what is important to us, and they help us get the most out of their platform.  They make it convenient for us to capture reviews and see the things we need to improve upon from our clients' comments.  The team provides great support and provides ideas that help us keep our program fresh and evolving.","There is always some portion of our audience that views the information here with skepticism, but G2 provides ample information to overcome those objections.","Helpful partners on the journey The G2 team understands what is important to us, and they help us get the most out of their platform.  They make it convenient for us to capture reviews and see the things we need to improve upon from our clients' comments.  The team provides great support and provides ideas that help us keep our program fresh and evolving. There is always some portion of our audience that views the information here with skepticism, but G2 provides ample information to overcome those objections.","['Support Quality', 'Customer Satisfaction']"
"Responsive & attentive account team, useful sales tool",4,"Great customer service. Our account team is A+. Jamie + Steph are super responsive and ready to help when we need them. They give good advice on where to prioritize our efforts. 



On the product side, we get good insights into customer sentiment and competitive intelligence. The quarterly Grid reports are a forcing function to ensure we are continuously generating new reviews and customer feedback. 



Grid reports help arm sales with third-party validation of our product. There is likely more we can be doing here.","As one of the leading SaaS review sites, I view G2 as a ""necessary evil'. We need to have a presence on G2, and a good one at that.","Responsive & attentive account team, useful sales tool Great customer service. Our account team is A+. Jamie + Steph are super responsive and ready to help when we need them. They give good advice on where to prioritize our efforts. 



On the product side, we get good insights into customer sentiment and competitive intelligence. The quarterly Grid reports are a forcing function to ensure we are continuously generating new reviews and customer feedback. 



Grid reports help arm sales with third-party validation of our product. There is likely more we can be doing here. As one of the leading SaaS review sites, I view G2 as a ""necessary evil'. We need to have a presence on G2, and a good one at that.",['- Customer Satisfaction\n- Support Quality']
Open line of communication and always willing to help,4.5,"The team at G2 is always willing to answer our questions and connect with multiple business units and stakeholders to explain and help us utilize all of the benefits G2 has to offer. Our account reps are friendly and very organized, I can trust they are guiding us in the right direction to optimize our G2 profile.","No downsides come to mind, the experience I have had with the G2 Marketing Solutions team has always been informative and helpful.","Open line of communication and always willing to help The team at G2 is always willing to answer our questions and connect with multiple business units and stakeholders to explain and help us utilize all of the benefits G2 has to offer. Our account reps are friendly and very organized, I can trust they are guiding us in the right direction to optimize our G2 profile. No downsides come to mind, the experience I have had with the G2 Marketing Solutions team has always been informative and helpful.",['Customer Satisfaction and Support Quality']
Lots of capabilities tough implementation,2,Intent data and competitive insights are helpful features,The Terminus integration and complexity of the Salesforce integration,Lots of capabilities tough implementation Intent data and competitive insights are helpful features The Terminus integration and complexity of the Salesforce integration,['- Integration Capabilities\n- User Experience']
Sr Marketing Portfolio Manager,4.5,"Review generation options and intent alerts base on the categories of choice are remarkable options. From one side, the ability to run review campaigns across LinkedIn and targeted outreach from the G2 team is flawless, plus having a dedicated reviews link for specific tactics makes it even easier to drive reviews across different tactics. 



Intent alerts serve multiple use cases (anything from outreach prioritization, personalized messaging, or determine at-risk accounts who may be shopping for competitors) , and G2 makes it easy to integrate it with your CRM or even directly to Outreach.



Finally, the support from Jeremy and Mike (CSM and AE) is amazing. They are available to bring new ideas to the table and even give you friendly nudges to keep you on track with projects.","Aligning on profile categories maybe sometimes challenging, especially when managing a complex portfolio of embedded solutions.","Sr Marketing Portfolio Manager Review generation options and intent alerts base on the categories of choice are remarkable options. From one side, the ability to run review campaigns across LinkedIn and targeted outreach from the G2 team is flawless, plus having a dedicated reviews link for specific tactics makes it even easier to drive reviews across different tactics. 



Intent alerts serve multiple use cases (anything from outreach prioritization, personalized messaging, or determine at-risk accounts who may be shopping for competitors) , and G2 makes it easy to integrate it with your CRM or even directly to Outreach.



Finally, the support from Jeremy and Mike (CSM and AE) is amazing. They are available to bring new ideas to the table and even give you friendly nudges to keep you on track with projects. Aligning on profile categories maybe sometimes challenging, especially when managing a complex portfolio of embedded solutions.",['- Support Quality\n- Integration Capabilities']
Unbiased Insights From Your Customers,4.5,"I am the primary user of G2. I like G2 because it's quick and easy for my customer to share their thoughts and feelings about their experience using my company's products. Partnering with my Enterprise Customer Success Manager, Carly Cozad, and Strategic Account Executive, Nick Espey, we've landed on the right strategy, which has allowed us to drive hundreds of new reviews. These reviews have lead to the creation of dozens of new pieces of marketing collateral. Even the occasional negative review has allowed our Customer Success and Support teams to get involved in monitoring reviews. I really like how we've been able to use our G2 profile as a lead generation source. Once the lead form is completed, I receive a notification and the lead is added to my instance of Salesforce so that I can track it.","My company is used across a number of different industries and is applicable across a lot of different user types. As a result, my company's product is listed in a lot of grid reports. It can be a bit challenging to drive reviews for all of the different use cases and industries. I would like to see more internal adoption of the intent data and comparison pages. I think G2 does a great job of putting a lot of data into your hands, but I'd like to see G2 make it simple to leverage that data to help their customers make smart decisions in terms of which prospects to focus on and which ones to put into a nurture track.","Unbiased Insights From Your Customers I am the primary user of G2. I like G2 because it's quick and easy for my customer to share their thoughts and feelings about their experience using my company's products. Partnering with my Enterprise Customer Success Manager, Carly Cozad, and Strategic Account Executive, Nick Espey, we've landed on the right strategy, which has allowed us to drive hundreds of new reviews. These reviews have lead to the creation of dozens of new pieces of marketing collateral. Even the occasional negative review has allowed our Customer Success and Support teams to get involved in monitoring reviews. I really like how we've been able to use our G2 profile as a lead generation source. Once the lead form is completed, I receive a notification and the lead is added to my instance of Salesforce so that I can track it. My company is used across a number of different industries and is applicable across a lot of different user types. As a result, my company's product is listed in a lot of grid reports. It can be a bit challenging to drive reviews for all of the different use cases and industries. I would like to see more internal adoption of the intent data and comparison pages. I think G2 does a great job of putting a lot of data into your hands, but I'd like to see G2 make it simple to leverage that data to help their customers make smart decisions in terms of which prospects to focus on and which ones to put into a nurture track.",['1. User Experience \n2. Customer Satisfaction']
Amazing tool for generating reviews,4.5,Very easy to generate quality reviews for our product lines,Could be easier to automate reviews especially using Salesforce.,Amazing tool for generating reviews Very easy to generate quality reviews for our product lines Could be easier to automate reviews especially using Salesforce.,"['User Experience', 'Automation Capabilities']"
A strong review platform with great enterprise support,4.5,G2 is able to help our marketing and sales teams with customer content! The incentivized reviews have allowed us to listen to our customer stories and equip our sales teams with testimonials that they can use throughout the sales cycle.,"We had a hard time making use of the intent data with G2 and utilizing it within our marketing programs. Without user level data, it is hard to know intent of a company and difficult to put that data into scalable programs.","A strong review platform with great enterprise support G2 is able to help our marketing and sales teams with customer content! The incentivized reviews have allowed us to listen to our customer stories and equip our sales teams with testimonials that they can use throughout the sales cycle. We had a hard time making use of the intent data with G2 and utilizing it within our marketing programs. Without user level data, it is hard to know intent of a company and difficult to put that data into scalable programs.",['Customer Satisfaction and Support Quality']
One of the leading software review sites,4,"What I like best about G2 is their admin portal. It is very user friendly and has many great resources. I love the dashboard, G2 reference pages, and Competitors dashboard. G2 makes it easy for me to prepare great assets for our sales and marketing teams. The G2 customer support is also really great. I can always count on my time to answer any questions and assist me with any requests I may have.",I dislike the frequency and large amounts of reports they offer. I think it dilutes their validity for prospects and sales.  I also dislike how short their reviews are. I don't think a reviewer is encouraged enough to leave longer more helpful reviews that give better insight into the product.,"One of the leading software review sites What I like best about G2 is their admin portal. It is very user friendly and has many great resources. I love the dashboard, G2 reference pages, and Competitors dashboard. G2 makes it easy for me to prepare great assets for our sales and marketing teams. The G2 customer support is also really great. I can always count on my time to answer any questions and assist me with any requests I may have. I dislike the frequency and large amounts of reports they offer. I think it dilutes their validity for prospects and sales.  I also dislike how short their reviews are. I don't think a reviewer is encouraged enough to leave longer more helpful reviews that give better insight into the product.",['- User Experience\n- Support Quality']
Nearly all my advocacy needs met,5,"We have a great support team that helps us unlock the full potential of leveraging every tool/feature that G2 has to offer. With G2, we're able to create marketing assets that helps substantiate our place in the market against our competition backed by realtime customer feedback.  The competitor comparison reports, additional content opportunities and video reviews have all made my job so much easier and fun. The dashboard is very user friendly and easy to use and navigate around to find what I'm looking for. I'm currently in my second role/company leveraging G2, and I couldn't imagine being a marketing professional without it.",I cannot think of anything at the moment.,"Nearly all my advocacy needs met We have a great support team that helps us unlock the full potential of leveraging every tool/feature that G2 has to offer. With G2, we're able to create marketing assets that helps substantiate our place in the market against our competition backed by realtime customer feedback.  The competitor comparison reports, additional content opportunities and video reviews have all made my job so much easier and fun. The dashboard is very user friendly and easy to use and navigate around to find what I'm looking for. I'm currently in my second role/company leveraging G2, and I couldn't imagine being a marketing professional without it. I cannot think of anything at the moment.",['- User Experience\n- Support Quality']
Insight and Alerts I need to stay competitive and book more meetings!,4.5,"Understanding and knowing when a company is exploring my companies reviews and/or my competitor's reviews. Having this in real-time or close to real-time can really increase my response rate. For example, I see they are looking at comparing vendors to one of my competitors. That tells me they are already in talks with that competitor and looking to see who else they should consider - enter me!



There are major upsides to using G2 not just for competitive comparisons but also to reflect on what your customer like and/or dislike. This can be great feedback for customer success teams and product teams! It also helps me understand what I need to do a better job of explaining specific features/use cases. 



I also love that I can get insights/alert via slack! I'm sure they have several integrations that would work for any b2b company.","Too many email notifications - I wish they wouldn't send repetitive alerts within the same week for the same company. It's overkill, but at the same time It makes sure I don't miss anything! I know they can't share personal information but that would obviously be great! Given you don't have insights into the person who was researching on g2, you have to get a little creative and leverage a larger net for your initial outreach.","Insight and Alerts I need to stay competitive and book more meetings! Understanding and knowing when a company is exploring my companies reviews and/or my competitor's reviews. Having this in real-time or close to real-time can really increase my response rate. For example, I see they are looking at comparing vendors to one of my competitors. That tells me they are already in talks with that competitor and looking to see who else they should consider - enter me!



There are major upsides to using G2 not just for competitive comparisons but also to reflect on what your customer like and/or dislike. This can be great feedback for customer success teams and product teams! It also helps me understand what I need to do a better job of explaining specific features/use cases. 



I also love that I can get insights/alert via slack! I'm sure they have several integrations that would work for any b2b company. Too many email notifications - I wish they wouldn't send repetitive alerts within the same week for the same company. It's overkill, but at the same time It makes sure I don't miss anything! I know they can't share personal information but that would obviously be great! Given you don't have insights into the person who was researching on g2, you have to get a little creative and leverage a larger net for your initial outreach.",['1. User Experience\n2. Comparative Analysis']
"Fantastic insights into our customers, product, and more",5,"I love the versatility. G2 goes so far beyond just gathering reviews and provides us with a ton of valuable insights into our customers. We've been able to surface feedback up to our product team, proactively address any potential questions/concerns a customer has, and help identify some great customer advocates. We love being able to hear what's on our customers' minds so we are able to continue providing them with an excellent product and service.","Nothing jumps to mind at the moment. Any questions or concerns I've had have been addressed by G2's very friendly, prompt, and helpful CS team!","Fantastic insights into our customers, product, and more I love the versatility. G2 goes so far beyond just gathering reviews and provides us with a ton of valuable insights into our customers. We've been able to surface feedback up to our product team, proactively address any potential questions/concerns a customer has, and help identify some great customer advocates. We love being able to hear what's on our customers' minds so we are able to continue providing them with an excellent product and service. Nothing jumps to mind at the moment. Any questions or concerns I've had have been addressed by G2's very friendly, prompt, and helpful CS team!",['Customer Satisfaction and Product Benefits']
User Friendly Platform with Great Customer Service,4,Real time leads on people who are actively searching for your service and looking at your product. It's great to know there will already be some familiarity with us when our Sales Team reaches out.,"Since G2 can't send actual contact info, it can sometime be hard tracking down the specific person who was searching (especially now that people are working from home and in different locations).","User Friendly Platform with Great Customer Service Real time leads on people who are actively searching for your service and looking at your product. It's great to know there will already be some familiarity with us when our Sales Team reaches out. Since G2 can't send actual contact info, it can sometime be hard tracking down the specific person who was searching (especially now that people are working from home and in different locations).",['User Experience and Support Quality']
G2 has helped our product improve visibility,5,The G2 team is dedicated to our success. They are always looking for ways for us to get more out of the service.,"Truthfully, there is nothing I can add here.","G2 has helped our product improve visibility The G2 team is dedicated to our success. They are always looking for ways for us to get more out of the service. Truthfully, there is nothing I can add here.",['- Customer Satisfaction\n- Support Quality']
A Lot of Great Content,4,Comparison Reports are such a great asset if you have the right reviews for certain categories. You can effectively tell the story about why your product is better in an easy-to-read chart. This is great for your sales team.,"There is so much content and opportunity at your fingertips that it can be overwhelming. Managing G2 could practically be a full-time job, and I worry that I'm not using G2 to its fullest potential.","A Lot of Great Content Comparison Reports are such a great asset if you have the right reviews for certain categories. You can effectively tell the story about why your product is better in an easy-to-read chart. This is great for your sales team. There is so much content and opportunity at your fingertips that it can be overwhelming. Managing G2 could practically be a full-time job, and I worry that I'm not using G2 to its fullest potential.",['- Comparative Analysis\n- Product Benefits']
G2 Has Been Great - Good for Marketers,5,"I haven't gotten a chance yet to explore all of G2's features, (there's a lot), but since I've started working with G2 about one year ago, it has been nothing but rewarding. When I've provided feedback, G2 has listened to it and accomodated it. They're trusted in our Industry and therefore, we've been able to benefit from G2's services as a marketing team. They seem to gather great, honest reviews and I'm happy so far.","There's not really a ton that I dislike. Again, I can't speak to too many of G2's products as I've only dabbled in a couple.","G2 Has Been Great - Good for Marketers I haven't gotten a chance yet to explore all of G2's features, (there's a lot), but since I've started working with G2 about one year ago, it has been nothing but rewarding. When I've provided feedback, G2 has listened to it and accomodated it. They're trusted in our Industry and therefore, we've been able to benefit from G2's services as a marketing team. They seem to gather great, honest reviews and I'm happy so far. There's not really a ton that I dislike. Again, I can't speak to too many of G2's products as I've only dabbled in a couple.",['- Customer Satisfaction\n- Product Benefits']
